,Title,Type,Description,Release Year,Rating,Runtime,Genres,Production Countries,Seasons,Imdb Score,Tmdb Score,Platform
1,The Dark Knight,MOVIE,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008,PG-13,152,"['drama', 'thriller', 'action', 'crime']","['GB', 'US']",,9.0,8.508,Netflix
2,The Lord of the Rings: The Return of the King,MOVIE,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003,PG-13,201,"['fantasy', 'action', 'drama']","['NZ', 'US']",,9.0,8.474,Netflix
3,Split at the Root,MOVIE,"When a Guatemalan mother seeking asylum was separated from her kids under Zero Tolerance Policy, a group of women sprang into action. Our film focuses on immigrant mothers navigating US bureaucracy and the volunteer group reuniting separated families.",2022,,96,['documentation'],['US'],,8.9,,Netflix
4,David Attenborough: A Life on Our Planet,MOVIE,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",2020,PG,83,['documentation'],['GB'],,8.9,8.5,Netflix
5,The Lord of the Rings: The Fellowship of the Ring,MOVIE,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001,PG-13,178,"['fantasy', 'action', 'drama']","['NZ', 'US']",,8.8,8.394,Netflix
6,C/o Kancharapalem,MOVIE,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",2018,PG,152,['drama'],['IN'],,8.8,7.5,Netflix
7,Nanpakal Nerathu Mayakkam,MOVIE,"A group of Malayali travellers were returning to Kerala by bus after their visit to Velankanni. They all doze off in a lazy nap after lunch. Like a traveler who forgot his destination, James stops the bus in a village in Tamil Nadu. He starts to speak in Tamil like a native of the place, Sundaram, and behaves like him, confusing all who came with him and the villagers alike. He walks amidst faith, delusion, dream and trance, followed by others.",2023,,107,"['drama', 'comedy']",['IN'],,8.8,7.2,Netflix
8,Forrest Gump,MOVIE,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,PG-13,142,"['comedy', 'drama', 'romance']",['US'],,8.8,8.479,Netflix
9,Chhota Bheem Neeli Pahaadi,MOVIE,"The kids are excited, as they have all planned a trip to the Neeli Pahadi right on the borders of Dholakpur. The Neeli Pahadi has always been an uneasy reality of Dholakpur with rumours of ghostly inhabitants and a mysterious past which goes back right to the days when the kingdom of Dholakpur was established.",2021,G,63,['animation'],[],,8.8,10.0,Netflix
10,The Lord of the Rings: The Two Towers,MOVIE,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002,PG-13,179,"['action', 'fantasy', 'drama']","['NZ', 'US']",,8.8,8.375,Netflix
11,Bo Burnham: Inside,MOVIE,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",2021,R,88,"['comedy', 'drama', 'music', 'reality']",['US'],,8.7,8.186,Netflix
12,A Lion in the House,MOVIE,Five families struggle with the ups and downs of cancer treatment over the course of six years.,2006,,225,['documentation'],['US'],,8.7,6.5,Netflix
13,Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,Krishna needs Bheem's help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?,2009,G,65,['animation'],['IN'],,8.6,10.0,Netflix
14,A Second Chance,MOVIE,"Popoy and Basha have had a wonderful wedding, but their subsequent married life turns out to be extremely difficult.",2018,,130,"['drama', 'family', 'sport', 'documentation']",['PH'],,8.6,7.1,Netflix
15,Merku Thodarchi Malai,MOVIE,"Living on the borders of Kerala and Tamil Nadu, Rangasamy, a laborer just like his fellow sons of soils toils, hard-working at the spice plantations owned by landlords. He lives a happy life and wishes to own a piece of land and earn a living through farming. After years of struggle, his dream finally comes true when Chaako, a local politician helps him buy the land, however, he soon faces tougher challenges as he has to deal with corrupt and wealthy politicians.",2018,,122,['drama'],['IN'],,8.6,7.4,Netflix
16,In Our Mothers' Gardens,MOVIE,"In Our Mothers' Gardens celebrates the strength and resiliency of Black women and Black families through the complex, and often times humorous, relationship between mothers and daughters.",2021,,84,['documentation'],['US'],,8.6,,Netflix
17,Rubaru Roshni,MOVIE,"The movie traces three real-life incidents that took place in '80s, 90s and 2000s respectively through the stories titled 'Orphan and the Convict', 'The Farmer and the Nun' and 'The Terror and the Mom'.",2019,,110,['documentation'],['IN'],,8.6,7.7,Netflix
18,Anbe Sivam,MOVIE,Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.,2003,,160,"['comedy', 'drama']",['IN'],,8.6,7.427,Netflix
19,Black Sunshine Baby,MOVIE,Family memories and personal art movingly portray author and motivational speaker Aisha Chaudhary's journey with an immune disorder and terminal illness.,2023,,85,['documentation'],['IN'],,8.5,2.0,Netflix
20,Springsteen On Broadway,MOVIE,"Springsteen on Broadway is a solo acoustic performance written and performed by Tony Award, Academy Award, and 20-time Grammy Award winner Bruce Springsteen. Based on his worldwide best-selling autobiography 'Born to Run,' Springsteen on Broadway is a unique evening with Bruce, his guitar, a piano, and his very personal stories. In addition, it features a special appearance by Patti Scialfa. Netflix will allow global audiences to see the show critics have been raving about from anywhere they are.",2018,,153,"['documentation', 'music']",['US'],,8.5,8.0,Netflix
