,Title,Type,Description,Release Year,Rating,Runtime,Genres,Production Countries,Seasons,Imdb Score,Tmdb Score,Platform
1,#ABtalks,SHOW,"#ABtalks is a YouTube interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.",2018,TV-PG,78,,,1.0,9.6,,Netflix
2,Crazy Delicious,SHOW,"Everyday meals are turned into extraordinary culinary creations in a magical food competition on an edible set. The UK's most talented food lovers are challenged to produce meals that must impress with originality, visuals and extraordinary flavours.",2017,,47,reality,GB,1.0,9.6,7.5,Netflix
3,Breaking Bad,SHOW,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008,TV-MA,48,"drama, comedy, crime, thriller",US,5.0,9.5,8.868,Netflix
4,Khawatir,SHOW,"A TV show devoted to help young people to be mature in their faith, work & knowledge",2005,TV-14,19,"reality, scifi, family",,11.0,9.5,,Netflix
5,The Chosen,SHOW,The life of Christ through the eyes of those who encountered him called The Chosen.,2019,TV-PG,49,"drama, history",US,3.0,9.3,8.583,Netflix
6,Avatar: The Last Airbender,SHOW,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005,TV-Y7,24,"animation, action, family, fantasy",US,3.0,9.3,8.7,Netflix
7,Our Planet,SHOW,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,2019,TV-G,50,documentation,GB,1.0,9.3,8.538,Netflix
8,Reply 1988,SHOW,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,2015,TV-14,71,"comedy, drama, family, romance",KR,1.0,9.2,8.652,Netflix
9,The Last Dance,SHOW,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",2020,TV-MA,50,"documentation, history, sport",US,1.0,9.1,8.202,Netflix
10,Story Time Book: Read-Along,SHOW,"Kids can read along with illustrated books that come to life through animation, music and narration. Exciting adventures, fuzzy animal friends and more.",2022,TV-Y,31,animation,,1.0,9.1,,Netflix
11,My Mister,SHOW,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",2018,TV-14,70,"drama, family",KR,1.0,9.1,8.347,Netflix
12,Kota Factory,SHOW,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2019,TV-MA,41,"comedy, drama",IN,2.0,9.0,8.1,Netflix
13,Arcane,SHOW,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",2021,TV-14,41,"scifi, action, drama, animation, fantasy",US,1.0,9.0,8.744,Netflix
14,Okupas,SHOW,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",2000,TV-MA,40,"drama, crime",AR,1.0,9.0,8.635,Netflix
15,DEATH NOTE,SHOW,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"animation, drama, fantasy, thriller, crime",JP,1.0,9.0,8.642,Netflix
16,Hunter x Hunter,SHOW,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",2011,TV-14,23,"action, drama, animation, comedy, fantasy",JP,1.0,9.0,8.661,Netflix
17,Attack on Titan,SHOW,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013,TV-MA,23,"horror, animation, action, drama, fantasy, scifi",JP,4.0,9.0,8.6,Netflix
18,Still Game,SHOW,Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang.,2002,TV-MA,29,"comedy, european",GB,9.0,8.9,8.25,Netflix
19,When They See Us,SHOW,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park.,2019,TV-MA,74,"drama, crime, history",US,1.0,8.9,8.241,Netflix
20,"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2014,,29,"history, documentation",IN,4.0,8.9,6.0,Netflix
